Date,PWSA,ABC,GTI,PAS,PEPC,PPAP,PPSP,CGSM,MJQE
2/10/2025,0.003189795,0.00555557,-0.00361664,0.003372684,0,0.014104606,-0.00464038,0.004106782,-0.004796172
2/7/2025,0,0.002789402,0.014545711,0,-0.004123717,0.012866511,0.009302393,-0.004106782,0.004796172
2/6/2025,0,-0.005571045,0.022223137,0,-0.004106782,0,-0.004662013,0,0
2/5/2025,0.003200003,-0.002773927,-0.003738322,-0.003372684,0,0.005772022,0,0.008230499,0
2/4/2025,-0.006389798,-0.005524876,0.011257155,0.00168492,0.029108084,-0.008645587,0,-0.008230499,0
2/3/2025,-0.003179653,-0.005494519,-0.007518832,-0.003367007,0.004228336,0,-0.00464038,0,0
1/31/2025,-0.003169575,0.002743486,-0.003738322,0.005054771,0.004246291,0.002873565,0,-0.004089985,0
1/30/2025,0.003169575,0,0.003738322,0.003384098,0.004264399,0.002881846,0.009302393,0.004089985,0
1/29/2025,-0.003169575,0,-0.003738322,0.001696353,-0.016949558,-0.002881846,-0.004662013,0,0
1/28/2025,0,0.002751033,0,0.001699236,0,0,-0.00464038,0,0
1/27/2025,0,-0.005494519,0.007490672,0.001702128,-0.004192878,-0.001437815,0.009302393,0,0
1/24/2025,0.003169575,-0.00273598,0,0,0.004192878,-0.005730675,0,0,0
1/23/2025,0,0.00273598,0,0.005123837,0,0.007168489,0.004683849,0.004106782,0
1/22/2025,-0.003169575,-0.005464494,0.003766483,0,0.01268516,-0.004307257,-0.004683849,-0.004106782,0
1/21/2025,0,0.002728515,-0.011257155,0.003430535,0.008547061,0.002869442,0,0,0
1/20/2025,-0.00315956,0.005479466,0.030305349,-0.001716739,0,0.015930822,0.004683849,0.004106782,0
1/17/2025,0.00315956,0.005509656,0.031252544,0.001716739,-0.004282662,0.014706147,-0.004683849,0,0
1/16/2025,0,0.00554018,0,0,-0.04184711,-0.011782169,0,-0.004106782,0.004819286
1/15/2025,0,0.011173301,0,0.001719691,0.050430854,-0.001463058,0.004683849,0.004106782,0
1/14/2025,0.009539023,0,0,-0.005150226,0,0.00292826,-0.004683849,0.004123717,0
